MTH,KAM_POC,REST_ID,BRAND_NAME,BUSINESS_ENTITY,CLASSIFIER,CITY,CITY_CLASSIFICATION,CPV_IMPRESSION,CPV_CLICK,CPV_ORDER,CPV_GMV,CPV_REVENUE
2025-07,Akash Chhawchharia,1053414,WeFit-Bowls_Salads_and_Sandwiches,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,884,6,1,292.149993896,88.4
2025-07,Akash Chhawchharia,750400,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,1923,16,1,383.700012207,192.3
2025-07,Akash Chhawchharia,750451,Daily_Kitchen_Homestyle_Meals,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,809,3,6,1979.650054932,80.9
2025-07,Akash Chhawchharia,975200,Faasos,Rebel_Foods_Pvt_Ltd,Nat_Core,Bhopal,India_2,4706,68,5,1629.200027466,470.6
2025-07,Akash Chhawchharia,71867,Faasos,Rebel_Foods_Pvt_Ltd,Nat_Core,Pune,India_1,1988,12,2,778.54309082,198.8
2025-07,Akash Chhawchharia,37933,Faasos,Rebel_Foods_Pvt_Ltd,Nat_Core,Ahmedabad,India_1,1831,9,3,1194.525482178,183.1
2025-07,Akash Chhawchharia,692076,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Gurgaon,India_1,301,0,,,30.1
2025-07,Akash Chhawchharia,1102796,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,29,1,,,2.9
2025-07,Akash Chhawchharia,857159,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,687,5,,,68.7
2025-07,Akash Chhawchharia,952834,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Delhi,India_1,446,2,,,44.6
2025-07,Akash Chhawchharia,1029605,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Pune,India_1,91,0,,,9.1
2025-07,Akash Chhawchharia,374722,Mealful_Rolls_India's_Biggest_Rolls,Eatclub_Brands_Private_Limited,Nat_Core,Hyderabad,India_1,493,4,1,255.399993896,49.3
2025-07,Akash Chhawchharia,692254,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Bangalore,India_1,232,0,,,23.2
2025-07,Akash Chhawchharia,1030844,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Pune,India_1,783,7,,,78.3
2025-07,Akash Chhawchharia,1030836,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,576,3,,,57.6
2025-07,Akash Chhawchharia,799954,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Gurgaon,India_1,476,0,,,47.6
2025-07,Akash Chhawchharia,1030935,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Trichy,India_2,1124,23,,,112.4
2025-07,Akash Chhawchharia,1075893,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Kanpur,India_1,332,3,,,33.2
2025-07,Akash Chhawchharia,1053984,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Thrissur,India_2,3179,18,1,536.700012207,317.9
2025-07,Akash Chhawchharia,874390,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Meerut,India_2,1318,12,,,131.8
2025-07,Akash Chhawchharia,1053728,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Pune,India_1,216,0,,,21.6
2025-07,Akash Chhawchharia,1030976,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Kochi,India_1,1709,4,,,170.9
2025-07,Akash Chhawchharia,1053899,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Chandigarh,India_1,117,1,,,11.7
2025-07,Akash Chhawchharia,874234,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Mumbai,India_1,413,2,,,41.3
2025-07,Akash Chhawchharia,1030881,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Vizag,India_1,1357,8,,,135.7
2025-07,Akash Chhawchharia,1053802,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Chennai,India_1,434,1,,,43.4
2025-07,Akash Chhawchharia,800052,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Hyderabad,India_1,1476,4,,,147.6
2025-07,Akash Chhawchharia,1053902,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Tirupur,India_2,2112,16,1,314.200012207,211.2
2025-07,Akash Chhawchharia,915701,Fricken,Rebel_Foods_Pvt_Ltd,Nat_Core,Mumbai,India_1,1361,11,,,136.1
2025-07,Akash Chhawchharia,800086,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Chennai,India_1,817,2,,,81.7
2025-07,Akash Chhawchharia,1075849,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Kochi,India_1,376,0,,,37.6
2025-07,Akash Chhawchharia,1030882,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Chandigarh,India_1,192,1,,,19.2
2025-07,Akash Chhawchharia,1075676,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Mumbai,India_1,89,0,,,8.9
2025-07,Akash Chhawchharia,1053811,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Indore,India_1,414,2,,,41.4
2025-07,Akash Chhawchharia,861085,Fricken,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,3950,19,,,395
2025-07,Akash Chhawchharia,1053985,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Tirunelveli,India_2,675,5,1,282.075012207,67.5
2025-07,Akash Chhawchharia,799997,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,244,1,,,24.4
2025-07,Akash Chhawchharia,1075704,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Ahmedabad,India_1,107,1,,,10.7
2025-07,Akash Chhawchharia,1075748,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Vadodara,India_2,744,1,,,74.4
2025-07,Akash Chhawchharia,1075727,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,191,0,,,19.1
2025-07,Akash Chhawchharia,1030884,Thalaiva_Biryani,Rebel_Foods_Pvt_Ltd,Nat_Core,Ahmedabad,India_1,91,0,,,9.1
2025-07,Akash Chhawchharia,1075949,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Mumbai,India_1,75,0,,,7.5
2025-07,Akash Chhawchharia,800049,Quick_Crave,Rebel_Foods_Pvt_Ltd,Nat_Core,Pune,India_1,205,1,,,20.5
2025-07,Akash Chhawchharia,1042338,BOOM_Sandwich_Explosion_of_Flavours,Eatclub_Brands_Private_Limited,Nat_Core,Mumbai,India_1,122,0,,,12.2
2025-07,Akash Chhawchharia,1075843,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Kolkata,India_1,115,1,,,11.5
2025-07,Akash Chhawchharia,1075628,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Bangalore,India_1,183,1,,,18.3
2025-07,Akash Chhawchharia,1053740,Honest_Bowl,Rebel_Foods_Pvt_Ltd,Nat_Core,Hyderabad,India_1,248,4,,,24.8
2025-07,Akash Chhawchharia,1075899,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Guntur,India_2,972,7,,,97.2
2025-07,Akash Chhawchharia,1075847,Bite_Club,Rebel_Foods_Pvt_Ltd,Nat_Core,Lucknow,India_1,180,2,,,18
